44f3mxcsI50	Lecture: Biblical Series V: Cain and Abel: The Hostile Brothers
Ifi5KkXig3s	Lecture: Biblical Series IV: Adam and Eve: Self-Consciousness, Evil, and Death
J9j-bVDrGdI	2017 Personality 22: Conclusion: Psychology and Belief
R_GPAl_q2QQ	Lecture: Biblical Series III: God and the Hierarchy of Authority
Q7GKmznaqsQ	2017 Personality 21: Biology & Traits: Performance Prediction
hdrLQ7DpiWs	Lecture: Biblical Series II: Genesis 1: Chaos & Order
6V1eMvGGcXQ	2017 Maps of Meaning 12: Final: The Divinity of the Individual
f-wWBGo6a2w	Lecture: Biblical Series I: Introduction to the Idea of God
T4fjSrVCDvA	2017 Maps of Meaning 11: The Flood and the Tower
R2iAECU7QV8	12 Public Lectures: Psychological Significance of the Biblical Stories
-asltUUvcGU	Martin Daly: Evolutionary Psychology Pioneer
MBWyBdUYPgk	2017 Personality 20: Biology & Traits: Orderliness/Disgust/Conscientiousness
fjtBDa4aSGM	2017 Personality 19: Biology & Traits: Openness/Intelligence/Creativity II
7XtEZvLo-Sc	2017 Maps of Meaning 10: Genesis and the Buddha
D7Kn5p7TP_Y	2017 Personality 18: Biology & Traits: Openness/Intelligence/Creativity I
yXZSeiAl4PI	2017 Maps of Meaning 09: Patterns of Symbolic Representation
G1eHJ9DdoEA	2017 Personality 17:  Biology and Traits: Agreeableness
7K6sWYLpaVA	2017/03/27: Dr. Oren Amitay and the Ontario Psychological Association
KVo5hq64B2M	2017/03/07: The Resurrection of Logos
Nb5cBkbQpGY	2017 Maps of Meaning 08: Neuropsychology of Symbolic Representation
AqkFg1pvNDw	2017 Personality 15: Biology/Traits: The Limbic System
ewU7Vb9ToXg	2017 Personality 16: Biology/Traits: Incentive Reward/Neuroticism
pCceO_D4AlY	2017 Personality 14: Introduction to Traits/Psychometrics/The Big 5
w84uRYq0Uc8	2017 Personality 13: Existentialism via Solzhenitsyn and the Gulag
F3n5qtj89QE	2017 Maps of Meaning 07: Images of Story & Metastory
hJ4JEypNH2s	Dialogue: Great U Texas Austin Psych Prof JW Pennebaker
4qZ3EsrKPsc	2017 Personality 11: Existentialism: Nietzsche Dostoevsky & Kierkegaard
11oBFCNeTAs	2017 Personality 12: Heidegger, Binswanger, Boss (Phenomenology)
nsZ8XqHPjI4	2017 Maps of Meaning 06: Story and Metastory (Part 2)
RudKmwzDpNY	2017 Maps of Meaning 05: Story and Metastory (Part 1)
68tFnjkIZ1Q	2017 Personality 10: Humanism & Phenomenology: Carl Rogers
kYYJlNbV1OM	2017 Personality 01: Introduction
bV16NEWld8Q	2017 Maps of Meaning 04: Marionettes and Individuals (Part 3)
X6pbJTqv2hw	2017 Personality 08: Carl Jung and the Lion King (Part 2)
YFWLwYyrMRE	2017 Personality 09: Freud and the Dynamic Unconscious
HbAZ6cFxCeY	2017 Personality 02/03: Historical & Mythological Context
3iLiKMUiyTI	2017 Personality 07: Carl Jung and the Lion King (Part 1)
BQ4VSRg4e8w	2017 Personality 06: Jean Piaget & Constructivism
Us979jCjHu8	2017 Maps of Meaning 03: Marionettes and Individuals (Part 2)
wLc_MC7NQek	2017 Personality 04/05: Heroic and Shamanic Initiations
EN2lyN7rM4E	2017 Maps of Meaning 02: Marionettes & Individuals (Part 1)
ZmZK9W4V1Rc	An open letter to Sam Harris
I8Xc2_FtpHI	Lecture: 2017 Maps of Meaning 01: Context and Background
Ixc9i1G7eew	The Metaphysics of Pepe with Jonathan Pageau
e0b5mnuKQvs	2016/11/29: Tradition and Things That Don't Fit with Jonathan Pageau
5Q_GIHDpuZw	2016 Lecture 06 Maps of Meaning: Part II: The Primordial Narrative continued
AdAdf4watJQ	2016 Lecture 14 Maps of Meaning: Final
0BpUHDO4a_o	2016 Personality Lecture 15: Final
F7T5cg1a77A	2016 Lecture 10 Maps of Meaning: Gautama Buddha, Adam and Eve
q15eTySnWxc	2016 Personality Lecture 13: Conscientiousness: Industriousness and Orderliness
qRFxulvRC7I	2016 Personality Lecture 14: Openness and Intelligence
Gacjj2aCo7Q	2016 Lecture 09 Maps of Meaning: Genesis
nbzAynn80SU	2016 Personality Lecture 12:  Gender Differences: Agreeableness and other traits: the Science
cz2KRFzLQ1M	2016 Lecture 06 Part II:  Maps of Meaning: An example of primordial narrative
f511uRzsHhQ	2016 Personality Lecture 10: The Psychobiology of Traits
PcYLzW1B6cY	2016 Lecture 08 Maps of Meaning: Part I: Hierarchies and chaos
RNxlEQSvh_w	2016 Personality Lecture 11: The Psychobiology of Traits, Continued
sta4zLcTAII	2016 Lecture 07 Maps of Meaning: Part II: Osiris, Set, Isis and Horus
